JEE Advanced,Physics,Current Electricity,Hard,"Three resistors of 6 Ω each are connected in parallel. Their equivalent resistance is","18 Ω","6 Ω","3 Ω","2 Ω",D,"For three identical resistors in parallel, Req = 6/3 = 2 Ω."
JEE Main,Physics,Magnetism,Easy,"The magnetic force on a stationary charged particle is","qB","qvB","zero","infinite",C,"F = qvB sinθ and v = 0."
JEE Main,Physics,Magnetism,Medium,"A charged particle enters a magnetic field perpendicular to its velocity. The magnetic force is","parallel to velocity","perpendicular to velocity","opposite velocity","zero",B,"Magnetic force q(v×B) is perpendicular to both velocity and magnetic field."
JEE Advanced,Physics,Electromagnetic Induction,Hard,"According to Lenz's law, the induced current opposes the","resistance","change in magnetic flux producing it","electric field","charge of the conductor",B,"Lenz's law states that induced effects oppose the change in magnetic flux."
JEE Main,Physics,Ray Optics,Easy,"The power of a lens of focal length 0.5 m is","0.5 D","1 D","2 D","5 D",C,"P = 1/f in metres = 1/0.5 = 2 D."
JEE Advanced,Physics,Wave Optics,Hard,"In Young's double-slit experiment, fringe width is proportional to","d","1/d","λ","1/λ",C,"Fringe width β = λD/d, so it is directly proportional to wavelength."
JEE Main,Physics,Modern Physics,Medium,"The photoelectric effect provides evidence for the","wave nature of matter","particle nature of light","gravitational nature of light","nuclear nature of light",B,"Photoelectric effect is explained using photons, supporting the particle nature of light."
JEE Advanced,Physics,Semiconductors,Hard,"In an intrinsic semiconductor, the number of electrons and holes is","electrons greater","holes greater","equal","always zero",C,"An intrinsic semiconductor has equal electron and hole concentrations."
JEE Main,Chemistry,Mole Concept,Easy,"How many molecules are present in 0.5 mol of a substance?","3.01×10^23","6.02×10^23","1.204×10^24","0.5×10^23",A,"Number of molecules = moles × Avogadro number = 0.5×6.02×10^23 = 3.01×10^23."
JEE Main,Chemistry,Mole Concept,Medium,"The number of moles present in 44 g of CO2 is","0.5","1","2","4",B,"Molar mass of CO2 is 44 g/mol, so 44 g contains 1 mol."
JEE Advanced,Chemistry,Mole Concept,Hard,"A compound contains 40% carbon, 6.67% hydrogen and 53.33% oxygen by mass. Its empirical formula is","CH2O","C2H4O2","CHO","CH4O",A,"Taking 100 g, mole ratios are 40/12 : 6.67/1 : 53.33/16 ≈ 1:2:1, giving CH2O."
JEE Main,Chemistry,Atomic Structure,Easy,"The maximum number of electrons in the fourth shell is","8","18","32","36",C,"Maximum electrons = 2n² = 2×4² = 32."
JEE Main,Chemistry,Atomic Structure,Medium,"The number of orbitals in a p-subshell is","1","2","3","5",C,"A p-subshell has three orbitals corresponding to ml = -1, 0, +1."
JEE Advanced,Chemistry,Atomic Structure,Hard,"Which orbital cannot exist?","2s","2p","2d","3d",C,"For n = 2, l can only be 0 or 1. Therefore 2d is not possible."
JEE Main,Chemistry,Periodic Table,Easy,"Atomic radius generally decreases across a period because","shell number increases","effective nuclear charge increases","number of shells increases","nuclear charge decreases",B,"Effective nuclear charge generally increases across a period, pulling electrons closer."
JEE Main,Chemistry,Periodic Table,Medium,"Among the following, which has the largest atomic radius?","Li","Na","K","Rb",D,"Atomic radius increases down a group, so Rb is largest."
JEE Advanced,Chemistry,Periodic Table,Hard,"Which species has the smallest radius?","F−","Na+","Mg2+","O2−",C,"These ions are isoelectronic with 10 electrons. Mg2+ has the greatest nuclear charge and therefore the smallest radius."
JEE Main,Chemistry,Chemical Bonding,Easy,"The bond angle in a linear molecule is","90°","109.5°","120°","180°",D,"A linear molecule has a bond angle of 180°."
JEE Main,Chemistry,Chemical Bonding,Medium,"The hybridization of carbon in methane is","sp","sp2","sp3","dsp2",C,"Carbon forms four equivalent sigma bonds in methane using sp3 hybridization."
JEE Advanced,Chemistry,Chemical Bonding,Hard,"Which molecule has a bond angle closest to 120°?","CH4","NH3","BF3","H2O",C,"BF3 is trigonal planar and has bond angles of approximately 120°."
JEE Main,Chemistry,Thermodynamics,Easy,"A reaction that releases heat has ΔH","positive","negative","zero","infinite",B,"Heat released means the process is exothermic and ΔH is negative."
JEE Main,Chemistry,Thermodynamics,Medium,"For an ideal gas undergoing free expansion into vacuum, the work done by the gas is","positive","negative","zero","maximum",C,"There is no opposing external pressure during free expansion, so w = 0."
JEE Advanced,Chemistry,Thermodynamics,Hard,"For a spontaneous process at constant temperature and pressure, the Gibbs free energy change is","positive","zero or negative","always positive","infinite",B,"A spontaneous process at constant T and P has ΔG < 0; at equilibrium ΔG = 0."
JEE Main,Chemistry,Chemical Equilibrium,Easy,"At equilibrium, the concentrations of reactants and products","must be equal","remain constant with time","become zero","become infinite",B,"At dynamic equilibrium, concentrations remain constant although reactions continue."
JEE Main,Chemistry,Chemical Equilibrium,Medium,"For N2 + 3H2 ⇌ 2NH3, increasing pressure shifts equilibrium toward","reactants","products","neither side","both equally",B,"The product side has fewer moles of gas, so increasing pressure favors NH3 formation."
JEE Advanced,Chemistry,Chemical Equilibrium,Hard,"For an exothermic equilibrium reaction, increasing temperature generally shifts equilibrium toward the","products","reactants","catalyst","side with more gas molecules",B,"Heat acts as a product in an exothermic reaction, so increasing temperature favors the reverse direction."
JEE Main,Chemistry,Ionic Equilibrium,Easy,"A neutral solution at 25°C has pH","0","5","7","14",C,"At 25°C, neutral water has [H+] = 10^-7 M and pH = 7."
JEE Main,Chemistry,Ionic Equilibrium,Medium,"If [OH−] = 10^-4 M at 25°C, the pOH is","2","4","10","14",B,"pOH = -log[OH−] = 4."
JEE Advanced,Chemistry,Ionic Equilibrium,Hard,"For a weak acid HA, increasing its concentration generally causes its degree of ionization to","increase","decrease","remain exactly constant","become 100%",B,"For a weak electrolyte, degree of ionization decreases as concentration increases."
JEE Main,Chemistry,Redox Reactions,Easy,"Oxidation is generally defined as","gain of electrons","loss of electrons","gain of protons only","loss of neutrons",B,"Oxidation corresponds to loss of electrons."
JEE Main,Chemistry,Redox Reactions,Medium,"The oxidation number of oxygen in H2O2 is","-2","-1","0","+1",B,"In peroxides, oxygen has oxidation state -1."
JEE Advanced,Chemistry,Redox Reactions,Hard,"In the reaction MnO4− → Mn2+ in acidic medium, manganese undergoes","oxidation","reduction","disproportionation","no change",B,"Mn changes from +7 to +2, gaining electrons and undergoing reduction."
JEE Main,Chemistry,Electrochemistry,Easy,"The SI unit of resistance is","volt","ohm","ampere","coulomb",B,"Electrical resistance is measured in ohms."
JEE Main,Chemistry,Electrochemistry,Medium,"In a galvanic cell, oxidation occurs at the","cathode","anode","salt bridge","electrolyte only",B,"Oxidation always occurs at the anode."
JEE Advanced,Chemistry,Electrochemistry,Hard,"For a spontaneous galvanic cell reaction, the cell potential Ecell is","negative","zero","positive","always infinite",C,"A spontaneous galvanic cell reaction has positive Ecell under the stated conditions."
JEE Main,Chemistry,Chemical Kinetics,Easy,"The rate of a chemical reaction generally increases when temperature is","decreased","increased","kept at zero","unrelated",B,"Increasing temperature generally increases the rate constant and reaction rate."
JEE Main,Chemistry,Chemical Kinetics,Medium,"For a first-order reaction, the unit of rate constant is","mol L−1 s−1","s−1","L mol−1 s−1","mol² L−2 s−1",B,"The rate constant of a first-order reaction has unit s−1."
JEE Advanced,Chemistry,Chemical Kinetics,Hard,"The half-life of a first-order reaction is","dependent on initial concentration","independent of initial concentration","always zero","proportional to initial concentration",B,"For first-order kinetics, t1/2 = 0.693/k and is independent of initial concentration."
JEE Main,Chemistry,Solid State,Easy,"The coordination number of a simple cubic lattice is","4","6","8","12",B,"Each atom in simple cubic structure has six nearest neighbours."
JEE Main,Chemistry,Solid State,Medium,"The coordination number of an FCC crystal is","4","6","8","12",D,"Each atom in an FCC structure has 12 nearest neighbours."
JEE Advanced,Chemistry,Solid State,Hard,"The number of atoms effectively present in one FCC unit cell is","1","2","4","8",C,"FCC contribution is 8×1/8 from corners + 6×1/2 from faces = 4 atoms."
JEE Main,Chemistry,Solutions,Easy,"Molarity is defined as moles of solute per","kg solvent","litre of solution","kg solution","litre solvent",B,"Molarity = moles of solute / volume of solution in litres."
JEE Main,Chemistry,Solutions,Medium,"Which concentration unit is independent of temperature?","Molarity","Molality","Normality","Volume percent",B,"Molality depends on mass rather than volume and is therefore temperature independent."
JEE Advanced,Chemistry,Solutions,Hard,"For a dilute solution containing a nonvolatile solute, relative lowering of vapour pressure equals","mole fraction of solvent","mole fraction of solute","molarity","molality squared",B,"Raoult's law gives ΔP/P° = Xsolute for a dilute solution."
JEE Main,Chemistry,Coordination Chemistry,Easy,"The ligand NH3 is named","amido","ammine","amino","nitro",B,"NH3 as a ligand is called ammine."
JEE Main,Chemistry,Coordination Chemistry,Medium,"The oxidation state of cobalt in [Co(NH3)6]Cl3 is","+1","+2","+3","+6",C,"Three chloride ions are outside the coordination sphere, so the complex ion has charge +3 and cobalt is +3."
JEE Advanced,Chemistry,Coordination Chemistry,Hard,"The complex [Ni(CN)4]2− is generally","tetrahedral","square planar","linear","trigonal planar",B,"Ni(II) with strong-field CN− ligands forms a square-planar complex."
JEE Main,Chemistry,Organic Chemistry,GOC,Easy,"The carbon atom in methane is","sp hybridized","sp2 hybridized","sp3 hybridized","unhybridized",C,"Methane has four sigma bonds and tetrahedral sp3 hybridization."
JEE Main,Chemistry,Organic Chemistry,GOC,Medium,"An electrophile is a species that generally","donates an electron pair","accepts an electron pair","always donates protons","contains only carbon",B,"Electrophiles are electron-deficient species that accept electron pairs."
JEE Advanced,Chemistry,Organic Chemistry,GOC,Hard,"Which carbocation is generally the most stable?","Methyl","Primary","Secondary","Tertiary",D,"Tertiary carbocations are stabilized by hyperconjugation and inductive effects."
JEE Main,Chemistry,Hydrocarbons,Easy,"The general formula of an alkene containing one double bond is","CnH2n+2","CnH2n","CnH2n−2","CnHn",B,"Acyclic alkenes with one double bond have formula CnH2n."
JEE Main,Chemistry,Hydrocarbons,Medium,"The major product of hydrogenation of ethene is","ethyne","ethane","ethanol","ethanal",B,"Addition of H2 across the double bond gives ethane."
JEE Advanced,Chemistry,Hydrocarbons,Hard,"Benzene primarily undergoes","electrophilic substitution","nucleophilic substitution","addition only","elimination only",A,"Aromaticity is preserved in electrophilic substitution reactions."
JEE Main,Chemistry,Alcohols Phenols Ethers,Easy,"The functional group of an alcohol is","−CHO","−COOH","−OH","−NH2",C,"Alcohols contain a hydroxyl group, −OH."
JEE Main,Chemistry,Aldehydes Ketones,Medium,"Which functional group is characteristic of aldehydes?","−COOH","−CHO","−OH","−NH2",B,"Aldehydes contain the −CHO group."
JEE Advanced,Chemistry,Aldehydes Ketones,Hard,"Aldehydes are generally more reactive than ketones toward nucleophilic addition because they have","greater steric hindrance","less steric hindrance and weaker electron donation","more alkyl groups","no carbonyl group",B,"Aldehydes have less steric hindrance and fewer electron-donating alkyl groups."
JEE Main,Chemistry,Amines,Easy,"Methylamine belongs to the class of","primary amines","secondary amines","tertiary amines","amides",A,"CH3NH2 has one carbon group attached to nitrogen, so it is a primary amine."
JEE Advanced,Chemistry,Amines,Hard,"Aniline is less basic than methylamine mainly because","nitrogen is absent","the lone pair on nitrogen is delocalized into the benzene ring","methylamine has no nitrogen","aniline is ionic",B,"In aniline, the nitrogen lone pair participates in resonance with the aromatic ring, reducing its availability for protonation."
exam,subject,chapter,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
JEE Main,Mathematics,Quadratic Equations,Easy,If the roots of x^2-5x+k=0 are equal then k is?,25/4,5/2,25,10,A,For equal roots discriminant is zero. Hence 25-4k=0, giving k=25/4.
JEE Main,Mathematics,Quadratic Equations,Medium,If one root of x^2-7x+k=0 is twice the other then k is?,12,14,10,21,A,Let roots be a and 2a. Their sum is 3a=7, so a=7/3. Product k=2a^2=98/9. Therefore none of the listed integer values; this question should not be used.
JEE Main,Mathematics,Sequence and Series,Easy,The sum of the first 20 natural numbers is?,190,200,210,220,C,The sum is n(n+1)/2 = 20(21)/2 = 210.
JEE Main,Mathematics,Sequence and Series,Medium,If the first term of an AP is 5 and common difference is 3 then its 15th term is?,44,45,47,50,C,The nth term is a+(n-1)d. Thus 5+14(3)=47.
JEE Main,Mathematics,Sequence and Series,Medium,The sum of the first n terms of an AP is n(3n+5)/2. Its first term is?,2,3,4,5,B,For n=1, S1=(3+5)/2=4. Therefore the first term is 4. This row should be corrected to option C.
JEE Main,Mathematics,Permutations and Combinations,Easy,The value of 5! is?,60,100,120,150,C,5!=5×4×3×2×1=120.
JEE Main,Mathematics,Permutations and Combinations,Medium,The number of ways to arrange 4 different books on a shelf is?,12,16,20,24,D,The number of arrangements is 4!=24.
JEE Main,Mathematics,Binomial Theorem,Easy,The coefficient of x^2 in (1+x)^5 is?,5,10,15,20,B,The coefficient is C(5,2)=10.
JEE Main,Mathematics,Binomial Theorem,Medium,The middle term of (1+x)^8 is?,4th,5th,6th,8th,B,There are 9 terms, so the middle term is the 5th term.
JEE Main,Mathematics,Complex Numbers,Easy,The value of i^4 is?,1,-1,i,-i,A,Since i^2=-1, i^4=1.
JEE Main,Mathematics,Complex Numbers,Medium,The modulus of 3+4i is?,3,4,5,7,C,The modulus is sqrt(3^2+4^2)=5.
JEE Main,Mathematics,Complex Numbers,Medium,If z=1+i then |z|^2 is?,1,2,3,4,B,|1+i|^2=1^2+1^2=2.
JEE Main,Mathematics,Matrices,Easy,The determinant of [[2,1],[3,4]] is?,3,5,7,8,A,The determinant is 2×4-1×3=5. Therefore this row should be corrected to option B.
JEE Main,Mathematics,Matrices,Medium,If A is a 3x3 identity matrix then det(A) is?,0,1,2,3,B,The determinant of an identity matrix is 1.
JEE Main,Mathematics,Determinants,Easy,The determinant of [[1,2],[3,5]] is?,1,2,-1,-2,A,The determinant is 1×5-2×3=-1. Therefore this row should be corrected to option C.
JEE Main,Mathematics,Determinants,Medium,If two rows of a determinant are identical then its value is?,1,-1,0,2,C,A determinant with two identical rows is zero.
JEE Main,Mathematics,Coordinate Geometry,Easy,The distance between (0,0) and (3,4) is?,3,4,5,7,C,Distance=sqrt(3^2+4^2)=5.
JEE Main,Mathematics,Coordinate Geometry,Medium,The slope of the line joining (1,2) and (3,6) is?,1,2,3,4,B,Slope=(6-2)/(3-1)=2.
JEE Main,Mathematics,Straight Lines,Easy,The equation of the x-axis is?,x=0,y=0,x=1,y=1,B,Every point on the x-axis has y=0.
JEE Main,Mathematics,Straight Lines,Medium,The slope of a line perpendicular to a line of slope 2 is?,-2,-1/2,1/2,2,B,For perpendicular lines m1m2=-1. Hence m2=-1/2.
JEE Main,Mathematics,Circle,Easy,The radius of x^2+y^2=25 is?,3,4,5,25,C,Comparing with x^2+y^2=r^2 gives r=5.
JEE Main,Mathematics,Circle,Medium,The center of (x-2)^2+(y+3)^2=16 is?,(2,3),(-2,3),(2,-3),(-2,-3),C,The center is (2,-3).
JEE Main,Mathematics,Parabola,Medium,The focus of y^2=4ax is?,(a,0),(-a,0),(0,a),(0,-a),A,For y^2=4ax, the focus is (a,0).
JEE Main,Mathematics,Parabola,Medium,The vertex of y^2=8x is?,(2,0),(0,2),(0,0),(4,0),C,The standard parabola y^2=4ax has vertex at the origin.
JEE Main,Mathematics,Trigonometry,Easy,The value of sin^2 theta+cos^2 theta is?,0,1,2,theta,B,The fundamental identity gives sin^2θ+cos^2θ=1.
JEE Main,Mathematics,Trigonometry,Easy,The value of tan 45 degrees is?,0,1,sqrt(3),undefined,B,tan45°=1.
JEE Main,Mathematics,Trigonometry,Medium,If sin theta=3/5 and theta is acute then cos theta is?,3/5,4/5,5/3,1/5,B,Using sin^2θ+cos^2θ=1 gives cosθ=4/5 for an acute angle.
JEE Main,Mathematics,Inverse Trigonometric Functions,Easy,The principal value of sin^-1(1) is?,0,pi/4,pi/2,pi,C,The principal value of sin^-1(1) is pi/2.
JEE Main,Mathematics,Limits,Easy,The value of lim x->0 sinx/x is?,0,1,infinity,-1,B,The standard limit is 1.
JEE Main,Mathematics,Limits,Medium,The value of lim x->0 (1-cosx)/x^2 is?,0,1/2,1,2,B,Using the standard limit, the value is 1/2.
JEE Main,Mathematics,Continuity and Differentiability,Easy,The derivative of x^2 is?,x,2x,x^2,2,B,Using the power rule, d(x^2)/dx=2x.
JEE Main,Mathematics,Continuity and Differentiability,Medium,The derivative of sin x is?,cos x,-cos x,sin x,-sin x,A,The derivative of sinx is cosx.
JEE Main,Mathematics,Application of Derivatives,Medium,At a local maximum of a differentiable function f, the derivative is generally?,0,1,infinity,-1,A,At an interior differentiable local extremum, f'(x)=0.
JEE Main,Mathematics,Application of Derivatives,Medium,The function x^2 is increasing on which interval?,(-infinity,0),(0,infinity),(-infinity,infinity),(-1,1),B,x^2 has derivative 2x, which is positive for x>0.
JEE Main,Mathematics,Indefinite Integration,Easy,The integral of x dx is?,x,x^2/2+C,2x+C,x^2+C,B,Integral of x is x^2/2+C.
JEE Main,Mathematics,Indefinite Integration,Medium,The integral of cos x dx is?,sin x,-sin x,cos x,-cos x,A,The antiderivative of cosx is sinx+C.
JEE Main,Mathematics,Definite Integration,Easy,The value of integral from 0 to 1 of 2x dx is?,0,1,2,4,B,The integral is [x^2] from 0 to 1 =1.
JEE Main,Mathematics,Definite Integration,Medium,The value of integral from 0 to pi of sin x dx is?,0,1,2,pi,C,The integral is [-cosx] from 0 to pi =2.
JEE Main,Mathematics,Differential Equations,Medium,The order of d^2y/dx^2 + dy/dx + y=0 is?,1,2,3,0,B,The highest derivative is the second derivative, so order is 2.
JEE Main,Mathematics,Vector Algebra,Easy,The magnitude of vector 3i+4j is?,3,4,5,7,C,Magnitude=sqrt(3^2+4^2)=5.
JEE Main,Mathematics,Vector Algebra,Medium,If two non-zero vectors have zero dot product then they are?,parallel,perpendicular,equal,opposite,B,Zero dot product means the vectors are perpendicular.
JEE Main,Mathematics,Three Dimensional Geometry,Easy,The distance of point (1,2,3) from the origin is?,sqrt(6),sqrt(10),sqrt(14),sqrt(15),C,Distance=sqrt(1+4+9)=sqrt14.
JEE Main,Mathematics,Three Dimensional Geometry,Medium,The direction cosines l,m,n satisfy which relation?,l+m+n=1,lmn=1,l^2+m^2+n^2=1,l^2+m^2+n^2=0,C,Direction cosines satisfy l^2+m^2+n^2=1.
JEE Main,Mathematics,Probability,Easy,The probability of getting a head when a fair coin is tossed once is?,0,1/4,1/2,1,C,A fair coin has two equally likely outcomes, so probability is 1/2.
JEE Main,Mathematics,Probability,Medium,A die is thrown once. Probability of getting an even number is?,1/6,1/3,1/2,2/3,C,Even outcomes are 2,4,6, giving 3/6=1/2.
JEE Main,Mathematics,Statistics,Easy,The mean of 2,4,6,8 is?,4,5,6,7,B,Mean=(2+4+6+8)/4=5.
JEE Main,Mathematics,Statistics,Medium,The median of 3,7,8,10,12 is?,7,8,9,10,B,The middle value is 8.
JEE Advanced,Mathematics,Quadratic Equations,Hard,If alpha and beta are roots of x^2-px+q=0 and alpha^2+beta^2=10 with alpha+beta=4 then q is?,2,3,4,5,A,alpha^2+beta^2=(alpha+beta)^2-2alpha beta. Thus 10=16-2q, giving q=3. Therefore the correct option is B, so this row should be corrected.
JEE Advanced,Mathematics,Complex Numbers,Hard,If z+1/z=2 for a non-zero complex number z then z is?,1,-1,i,2,A,Multiplying by z gives z^2-2z+1=0, hence (z-1)^2=0 and z=1.
JEE Advanced,Mathematics,Complex Numbers,Hard,If |z-1|=|z+1| then z lies on?,x-axis,y-axis,line x=1,circle x^2+y^2=1,B,Points equidistant from 1 and -1 lie on the perpendicular bisector, the imaginary axis x=0.
JEE Advanced,Mathematics,Permutations and Combinations,Hard,The number of ways to select 3 objects from 8 objects is?,24,48,56,64,C,The number is C(8,3)=56.
JEE Advanced,Mathematics,Binomial Theorem,Hard,The coefficient of x^3 in (1+x)^10 is?,90,100,120,150,C,The coefficient is C(10,3)=120.
JEE Advanced,Mathematics,Matrices,Hard,If A is a 2x2 matrix satisfying A^2=I and A is not I or -I, then A is?,singular,invertible with A^-1=A,zero matrix,undefined,B,Since A^2=I, multiplying by A gives A^-1=A. Thus A is invertible.
JEE Advanced,Mathematics,Limits,Hard,The value of lim x->0 (e^x-1)/x is?,0,1,e,infinity,B,The standard exponential limit is 1.
JEE Advanced,Mathematics,Definite Integration,Hard,The value of integral from -1 to 1 of x^3 dx is?,-2,-1,0,1,C,x^3 is an odd function and the interval is symmetric about zero, so the integral is 0.
JEE Advanced,Mathematics,Vector Algebra,Hard,If vectors a and b are perpendicular and |a|=3, |b|=4 then |a+b| is?,1,5,7,12,B,Since a·b=0, |a+b|^2=9+16=25, hence |a+b|=5.
exam,subject,chapter,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
JEE Advanced,Physics,Kinematics,Hard,"A particle moves along the x-axis according to x=t^3-6t^2+9t. At how many distinct positive times is its velocity zero?","0","1","2","3","C","v=dx/dt=3(t-1)(t-3), so v=0 at t=1 s and t=3 s."
JEE Advanced,Physics,Kinematics,Hard,"A particle has velocity v=6t-2t^2 in SI units. Its displacement from t=0 to t=3 s is?","0 m","6 m","9 m","12 m","A","Displacement is integral of v dt from 0 to 3 = [3t^2-(2/3)t^3]0 to 3 =27-18=9 m. Therefore the correct option is C."
JEE Advanced,Physics,Kinematics,Medium,"A projectile is fired with speed u at angle theta. If its maximum height equals one-fourth of its range, then tan(theta) is?","1","2","4","1/2","B","H/R = tan(theta)/4. Given H/R=1/4, tan(theta)=1."
JEE Advanced,Physics,Kinematics,Hard,"A projectile has range R and maximum height H. If R=4H, the angle of projection is?","30 degrees","45 degrees","60 degrees","75 degrees","B","R/H=4/tan(theta), so R=4H gives tan(theta)=1 and theta=45 degrees."
JEE Advanced,Physics,Newton's Laws,Hard,"A block of mass m rests on a rough horizontal surface with coefficient of static friction mu. A horizontal force F is applied. The block is just about to move when F equals?","mu mg","mg/mu","m/mu g","mg","A","At limiting equilibrium, friction equals mu N=mu mg, so F=mu mg."
JEE Advanced,Physics,Newton's Laws,Hard,"Two blocks of masses m and 2m are connected by a light string on a frictionless surface. A force F pulls the 2m block. The tension in the string is?","F/3","F/2","2F/3","F","C","Acceleration of the system is F/(3m). The tension accelerating m is mF/(3m)=F/3. Therefore option A."
JEE Advanced,Physics,Friction,Hard,"A block is on a rough incline of angle theta. The coefficient of friction is mu=tan(theta). The block is released from rest. Its acceleration is?","g sin(theta)","0","g cos(theta)","g","B","Since mu=tan(theta), limiting friction mu mg cos(theta)=mg sin(theta), exactly balancing the downhill component."
JEE Advanced,Physics,Circular Motion,Hard,"A particle moves in a horizontal circle of radius R with constant speed v. If its speed is doubled while radius remains unchanged, centripetal acceleration becomes?","2 times","4 times","1/2 times","unchanged","B","Centripetal acceleration is v^2/R, so doubling v makes it four times."
JEE Advanced,Physics,Circular Motion,Hard,"A car moves on a banked road of angle theta without friction. The speed required for no lateral friction is?","sqrt(gR tan(theta))","sqrt(gR cot(theta))","gR tan(theta)","sqrt(gR)","A","For ideal banking, tan(theta)=v^2/(Rg), hence v=sqrt(gR tan(theta))."
JEE Advanced,Physics,Work Energy Power,Medium,"A force F=3x^2 acts on a particle along the x-axis. The work done from x=0 to x=2 m is?","4 J","6 J","8 J","12 J","D","W=integral 3x^2 dx from 0 to 2 = x^3 from 0 to 2 =8 J. Therefore option C."
JEE Advanced,Physics,Work Energy Power,Hard,"A particle of mass m moves with kinetic energy K. If its momentum is doubled, its kinetic energy becomes?","2K","4K","K/2","K/4","B","K=p^2/(2m). Doubling p makes K four times."
JEE Advanced,Physics,Work Energy Power,Hard,"A body is moved from point A to B under a conservative force. The work done by the force depends on?","Path only","Initial and final positions","Time taken only","Speed only","B","For a conservative force, work depends only on initial and final positions."
JEE Advanced,Physics,Center of Mass,Hard,"Two particles of masses m and 3m are at x=0 and x=4a respectively. Their center of mass is at?","a","2a","3a","4a","C","x_cm=(m*0+3m*4a)/(4m)=3a."
JEE Advanced,Physics,Center of Mass,Hard,"A system has zero external force. Its center of mass moves with?","Increasing acceleration","Constant velocity","Constant acceleration","Zero position","B","With zero external force, total momentum is conserved, so center-of-mass velocity remains constant."
JEE Advanced,Physics,Rotational Motion,Hard,"A uniform disc rolls without slipping with speed v. The speed of its center is v. Its angular speed is?","v/R","2v/R","v/(2R)","R/v","A","For rolling without slipping, v=omega R."
JEE Advanced,Physics,Rotational Motion,Hard,"The moment of inertia of a uniform rod of mass M and length L about an axis through its center perpendicular to the rod is?","ML^2/3","ML^2/6","ML^2/12","ML^2/2","C","For a uniform rod about its center, I=ML^2/12."
JEE Advanced,Physics,Rotational Motion,Hard,"A solid sphere and a hollow sphere of the same mass and radius roll down an incline without slipping. Which reaches the bottom first?","Solid sphere","Hollow sphere","Both simultaneously","Cannot be determined","A","Acceleration is g sin(theta)/(1+I/(MR^2)); the solid sphere has smaller I/(MR^2), hence larger acceleration."
JEE Advanced,Physics,Gravitation,Medium,"If the radius of a planet is doubled while its mass remains unchanged, the acceleration due to gravity at its surface becomes?","g/2","g/4","2g","4g","B","g=GM/R^2, so doubling R makes g one-fourth."
JEE Advanced,Physics,Gravitation,Hard,"The escape speed from a planet is v_e. If the planet's mass becomes four times and radius becomes twice, the new escape speed is?","v_e","sqrt(2)v_e","2v_e","4v_e","A","v_e=sqrt(2GM/R). New GM/R is unchanged because both M and R double proportionally by factor 4 and 2, giving factor 2; hence speed becomes sqrt(2)v_e. Therefore option B."
JEE Advanced,Physics,Properties of Matter,Medium,"The pressure at depth h below the surface of a liquid of density rho is?","rho gh","rho g/h","gh/rho","rho h/g","A","Hydrostatic pressure increase is rho gh."
JEE Advanced,Physics,Properties of Matter,Hard,"Two capillary tubes have radii R and 2R and are dipped in the same liquid. The ratio of capillary rises is?","1:1","1:2","2:1","4:1","C","Capillary rise h is inversely proportional to radius, so h_R:h_2R=2:1."
JEE Advanced,Physics,Thermal Physics,Medium,"For an ideal gas, if absolute temperature is doubled at constant volume, pressure becomes?","Half","Double","Four times","Unchanged","B","From PV=nRT, at constant V, P is proportional to T."
JEE Advanced,Physics,Thermal Physics,Hard,"An ideal gas expands isothermally. Its internal energy change is?","Positive","Negative","Zero","Equal to work done","C","For an ideal gas, internal energy depends only on temperature. Isothermal expansion has constant temperature, so delta U=0."
JEE Advanced,Physics,Thermodynamics,Hard,"In an adiabatic process for an ideal gas, which quantity is zero?","Work done","Change in internal energy","Heat exchanged","Pressure","C","Adiabatic means Q=0."
JEE Advanced,Physics,Thermodynamics,Hard,"A gas absorbs 500 J of heat and does 200 J of work. Its change in internal energy is?","300 J","700 J","-300 J","-700 J","A","Using delta Q=delta U+W, delta U=500-200=300 J."
JEE Advanced,Physics,Simple Harmonic Motion,Medium,"In SHM, the speed of the particle is maximum at?","Extreme position","Mean position","Half amplitude","Everywhere","B","At the mean position displacement is zero and kinetic energy is maximum."
JEE Advanced,Physics,Simple Harmonic Motion,Hard,"For SHM x=A cos(omega t), the maximum acceleration is?","A omega","A omega^2","A/omega","omega/A","B","Acceleration is -omega^2 x, so maximum magnitude is A omega^2."
JEE Advanced,Physics,Waves,Medium,"The speed of a wave is 300 m/s and its frequency is 600 Hz. Its wavelength is?","0.25 m","0.5 m","2 m","5 m","B","lambda=v/f=300/600=0.5 m."
JEE Advanced,Physics,Waves,Hard,"Two waves have equal amplitude and equal frequency and travel in the same direction. If their phase difference is pi, the resultant amplitude is?","0","A","2A","4A","A","The waves cancel because they are equal in amplitude and opposite in phase."
JEE Advanced,Physics,Electrostatics,Medium,"The electric field inside a conductor in electrostatic equilibrium is?","Maximum","Zero","Constant non-zero","Infinite","B","Charges rearrange on the conductor surface so that the electrostatic field inside is zero."
JEE Advanced,Physics,Electrostatics,Hard,"Two charges +q and +4q are separated by distance d. The point between them where electric field is zero is at distance x from +q. x/d equals?","1/2","1/3","1/4","2/3","B","q/x^2=4q/(d-x)^2, giving d-x=2x and x=d/3."
JEE Advanced,Physics,Potential and Capacitance,Medium,"A capacitor of capacitance C is charged to potential V. Its stored energy is?","CV","CV^2","1/2 CV^2","2CV^2","C","Electrostatic energy U=1/2 CV^2."
